time_s,position_error_m,momentum_error
1.5218821980861315e-05,3.5018587733252016e-05,2.259925301966752e-05
1.525995393216086e-05,4.482329038443875e-05,2.1440429913012414e-05
1.5301085883460406e-05,3.289566664485998e-05,3.7979150216582173e-06
1.534221783475995e-05,4.46191767017915e-05,2.1832409112039913e-06
1.5383349786059497e-05,3.8769861703109354e-05,4.282699034976463e-06
1.5424481737359042e-05,4.272648185362273e-05,2.181592090976376e-05
1.5465613688658588e-05,3.682502057610635e-05,1.6075314261813435e-05
1.5506745639958133e-05,4.080895353318658e-05,1.1510537559742494e-06
1.554787759125768e-05,4.1516577884387e-05,1.8310186850533595e-06
1.5589009542557224e-05,3.8814866737642146e-05,2.179557716108897e-05
1.563014149385677e-05,4.1144751400525566e-05,2.552098910592308e-05
1.5671273445156315e-05,3.958857346316749e-05,2.3948630030517087e-06
1.571240539645586e-05,4.491139282140989e-05,3.238316131850162e-06
1.5753537347755406e-05,3.7089159838650836e-05,7.478707910201824e-06
1.579466929905495e-05,4.454810258859064e-05,2.5143785926771664e-05
1.5835801250354497e-05,3.494392440809547e-05,1.408097603826198e-05
1.5876933201654042e-05,4.502540844780143e-05,4.177075026805481e-06
1.5918065152953588e-05,3.4206768341142647e-05,3.588888415637117e-06
1.5959197104253133e-05,4.4982511729248423e-05,2.3567313646028362e-05
1.600032905555268e-05,3.4746388715916574e-05,2.3475820773204788e-05
1.6041461006852224e-05,4.450448734387999e-05,2.536299480497408e-06
1.608259295815177e-05,3.5335665083017874e-05,2.2227235791932133e-06
1.6123724909451315e-05,4.284816920585036e-05,5.003452393477084e-06
1.616485686075086e-05,3.752989565865056e-05,2.4592733620454876e-05
1.6205988812050406e-05,4.344811833318523e-05,1.0462856674203537e-05
1.624712076334995e-05,3.919355600447919e-05,1.1406914582666937e-06
1.6288252714649497e-05,4.010611142879202e-05,1.89453706329403e-06
1.6329384665949042e-05,4.272222819806356e-05,2.4433650417827034e-05
1.6370516617248588e-05,3.880664469153958e-05,2.194381199798372e-05
1.6411648568548133e-05,4.300472683748043e-05,1.874604958731285e-06
1.645278051984768e-05,3.646582322512795e-05,3.077039049968728e-06
1.6493912471147224e-05,4.593484621659127e-05,3.8021489816500534e-06
1.653504442244677e-05,3.562565262280571e-05,2.3316321171733636e-05
1.6576176373746315e-05,4.479341751817087e-05,9.739441308935892e-06
1.661730832504586e-05,3.502884775044817e-05,3.458807548333129e-06
1.6658440276345406e-05,4.6226038098242044e-05,2.6507861967971317e-06
1.669957222764495e-05,3.7417595438467525e-05,2.439126258119799e-05
1.6740704178944497e-05,4.545160707953904e-05,2.2214436986080724e-05
1.6781836130244042e-05,3.768494890113831e-05,2.507560266079263e-06
1.6822968081543588e-05,4.409985101412677e-05,1.1636709782778759e-06
1.6864100032843133e-05,4.5064703313654285e-05,5.14799861872413e-06
1.690523198414268e-05,4.131702242581718e-05,2.251213095138432e-05
1.6946363935442224e-05,4.175021229860658e-05,1.1973476341279503e-05
