time_s,position_error_m,momentum_error
5.14149391245793e-06,9.137683386002884e-06,2.8187507805908173e-07
5.162059888107703e-06,9.08687637046688e-06,4.546855135461326e-06
5.182625863757476e-06,9.63036037412595e-06,1.5354530677610451e-07
5.2031918394072485e-06,9.911170423708654e-06,4.276652811437999e-06
5.223757815057021e-06,9.673962269865687e-06,1.3341487116990273e-06
5.244323790706794e-06,9.114447504114393e-06,2.6523240120319386e-07
5.264889766356567e-06,9.344083661509853e-06,4.691189544677207e-06
5.285455742006339e-06,1.0163473980899804e-05,1.478107981134008e-07
5.306021717656112e-06,1.0255157697561692e-05,1.1757152226055868e-06
5.326587693305885e-06,9.756898761830822e-06,4.494560135368732e-06
5.347153668955658e-06,9.246991802350115e-06,2.476315586533095e-07
5.36771964460543e-06,9.595149786054823e-06,4.813613302830025e-06
5.388285620255203e-06,1.0267052011677644e-05,1.6327548362519601e-07
5.408851595904976e-06,1.013230213123703e-05,3.4273479720929367e-07
5.4294175715547485e-06,9.614548315949885e-06,4.744254583902035e-06
5.449983547204521e-06,9.400451226738345e-06,2.1038600080634687e-07
5.470549522854294e-06,9.9092541464109e-06,4.979800743449681e-06
5.491115498504067e-06,1.0783700975844166e-05,3.4256775108492926e-07
5.511681474153839e-06,1.0231433892557965e-05,2.1079211467629775e-07
5.532247449803612e-06,9.446476323287083e-06,4.754021455867289e-06
5.552813425453385e-06,9.619191595616941e-06,2.159182514125724e-07
5.573379401103158e-06,1.0254774144867641e-05,4.575540505284817e-06
5.59394537675293e-06,1.0955916229056455e-05,1.582680987007316e-06
5.614511352402703e-06,1.0283032247447937e-05,1.918098584646612e-07
5.635077328052476e-06,9.587293796178065e-06,4.927092700491053e-06
5.6556433037022485e-06,1.0187460789206083e-05,2.0640624950766118e-07
5.676209279352021e-06,1.0848390097184239e-05,1.1840487951284401e-06
5.696775255001794e-06,1.1098665550193358e-05,5.108881089502434e-06
5.717341230651567e-06,1.0135340080321263e-05,2.404185877233839e-07
5.737907206301339e-06,9.632321488443706e-06,5.016865968853642e-06
5.758473181951112e-06,1.0838293433099122e-05,2.051293792685361e-07
5.779039157600885e-06,1.133107612259102e-05,2.6793839469805886e-07
5.799605133250658e-06,1.1082548951769853e-05,5.276500992868316e-06
5.82017110890043e-06,1.0150556334557062e-05,2.628171361777276e-07
5.840737084550203e-06,9.924731391995498e-06,5.175216741920174e-06
5.861303060199976e-06,1.1153630932884608e-05,4.428644560194572e-07
5.8818690358497485e-06,1.1443234342805703e-05,1.9069025712114207e-07
5.902435011499521e-06,1.0867961410751214e-05,5.265411167498175e-06
5.923000987149294e-06,1.0021552622217424e-05,3.252369846936481e-07
5.943566962799067e-06,1.0259624774493957e-05,4.839285836202972e-06
5.964132938448839e-06,1.1870784411653736e-05,1.9088208608579683e-06
5.984698914098612e-06,1.1665717367579623e-05,2.3601611130485475e-07
6.005264889748385e-06,1.0781473256728525e-05,5.347622800724851e-06
6.025830865398158e-06,1.041727234053426e-05,3.217717022640714e-07
6.04639684104793e-06,1.0824754074420897e-05,1.293492001519077e-06
6.066962816697703e-06,1.1675882603506377e-05,5.435382525161926e-06
